accelerator,model,tier,policy,workload,status,mean_ttft_ms,mean_tpot_ms,mean_latency_ms,p99_ttft_ms,p99_tpot_ms,num_requests,generated_tokens_total,mean_stall_ms_per_request,shadow_hit_rate,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evicpress_compression_events,evicpress_compressed_bytes_saved,evicpress_ratio_sum,harp_prefetch_bytes_total,harp_prefetch_bytes_progress,harp_prefetch_overlap_bytes,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens_total,harp_shadow_ratio_sum,harp_shadow_ratio_events,tier_transition_bytes_total,tier_transition_mb_total,evicpress_avg_ratio,stall_overlap_ratio,harp_avg_shadow_ratio,transition_mb_per_generated_token
A6000,llama8b,pcie_nvme,fifo,fixed_256,ok,686678.242991461,532.8978480507812,958989.0435981953,1535865.3743268498,717.6877579,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875
A6000,llama8b,pcie_nvme,lru,fixed_256,ok,96168.37804872265,61.232591453124996,127458.23254060156,215643.33480744995,93.43540129999998,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125
A6000,llama8b,pcie_nvme,largest_kv,fixed_256,ok,561700.0596738437,348.1724522304687,739616.1830256953,1206573.1875232,607.1209613999999,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125
A6000,llama8b,pcie_nvme,smallest_kv,fixed_256,ok,91382.80113512109,52.866956828125,118397.81635077343,191790.88042924998,91.46395474999997,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125
A6000,llama8b,pcie_nvme,random,fixed_256,ok,113787.87439973047,64.5935998515625,146795.20420371875,236145.8755811,124.23512944999993,256.0,131072.0,0.0,0.0,0.0,9669967872.0,0.0,9669967872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19339935744.0,18444.0,1.0,0.0,1.0,0.140716552734375
A6000,llama8b,pcie_nvme,evicpress,fixed_256,ok,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875
A6000,llama8b,ssd,tail,fixed_256,ok,92414.05286326952,49.955435214843746,117941.28050501172,196391.9408854,89.89117809999996,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125
A6000,llama8b,ssd,fifo,fixed_256,ok,683522.6277142343,530.433033203125,954573.907927828,1528739.32289295,714.3826687999999,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875
A6000,llama8b,ssd,lru,fixed_256,ok,95187.02656238672,60.67496232421875,126191.93256123437,213353.41990134993,92.53313414999997,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125
A6000,llama8b,ssd,largest_kv,fixed_256,ok,557973.0932435741,345.774767953125,734663.9999288789,1198109.3702025998,603.6889894,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125
A6000,llama8b,ssd,smallest_kv,fixed_256,ok,90580.85888136328,52.47684093359375,117396.5248711289,190172.26786425,90.61197689999996,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125
A6000,llama8b,ssd,random,fixed_256,ok,116857.09761042969,65.81949459375,150490.85958901563,239989.12675135,131.41686329999996,256.0,131072.0,0.0,0.0,0.0,9263120384.0,0.0,9263120384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18526240768.0,17668.0,1.0,0.0,1.0,0.134796142578125
A6000,llama8b,ssd,evicpress,fixed_256,ok,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875
A6000,llama8b,ethernet,tail,fixed_256,ok,94056.02453244921,50.644386125,119935.30609522655,199392.2662654,91.77177514999995,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125
A6000,llama8b,ethernet,fifo,fixed_256,ok,690082.4426230078,535.5537010585937,963750.3841313593,1543549.48000675,721.2518331999999,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875
A6000,llama8b,ethernet,lru,fixed_256,ok,97325.04020657421,61.887463792968745,128949.5344565039,218325.27783334994,94.49950479999998,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125
A6000,llama8b,ethernet,largest_kv,fixed_256,ok,565682.7208641992,350.73046832421875,744905.9904356913,1215605.9789886998,610.80131735,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125
A6000,llama8b,ethernet,smallest_kv,fixed_256,ok,92359.37481264063,53.34478678125,119618.56113432422,193776.57302825,92.47998789999995,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125
A6000,llama8b,ethernet,random,fixed_256,ok,119815.35682966406,71.44814375390625,156325.35854745703,249255.67799089983,134.04928664999994,256.0,131072.0,0.0,0.0,0.0,10420748288.0,0.0,10420748288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20841496576.0,19876.0,1.0,0.0,1.0,0.151641845703125
A6000,llama8b,ethernet,evicpress,fixed_256,ok,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875
